TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
02/01/2023 14:40,233,279.4,46.79,250.6226409,26.93,36,4.159,177.2,876.4285,-
02/01/2023 14:50,234,221.1,18.13,210.3246249,26.11,36.97,4.621,174.9,876.3084,-
02/01/2023 15:00,235,213.7,0.78,213.2536252,26.01,36.58,3.414,151.1,876.2946,-
02/01/2023 15:10,236,515.9,431.4,279.1123292,26.72,35.25,2.963,153.8,876.0896,-
02/01/2023 15:20,237,221,69.05,184.803736,26.69,34.89,2.455,178.1,876.1572,-
02/01/2023 15:30,238,169.8,0.844,169.3794453,26.23,35.37,2.725,235,876.098,-
02/01/2023 15:40,239,419.2,425.9,218.5231778,26.56,34.72,1.997,158,876.0544,-
02/01/2023 15:50,240,470.3,667.6,174.5922982,27.93,33.06,2.489,143.4,876.0467,-
02/01/2023 16:00,241,349.6,491.8,146.183278,27.3,34.58,3.051,234.4,876.0927,-
02/01/2023 16:10,242,361.3,701.5,92.43977601,27.27,34.69,3.086,179.6,875.9294,-
02/01/2023 16:20,243,280.7,620.1,62.46002581,27.4,35,2.989,120.8,875.8901,-
02/01/2023 16:30,244,227.9,496.4,69.1951104,27.43,34.76,3.422,136.6,875.8918,-
02/01/2023 16:40,245,242.1,545.5,85.74244158,27.62,33.83,2.932,174.1,876.0051,-
02/01/2023 16:50,246,196.2,483.7,73.93710205,27.75,33.51,1.901,101.3,876.0688,-
02/01/2023 17:00,247,148.1,380.2,65.14828533,27.75,33.22,1.66,129.6,876.0831,-
02/01/2023 17:10,248,80.7,81.2,65.84551224,27.38,33.76,1.821,120.7,876.0698,-
02/01/2023 17:20,249,50.66,5.783,49.80928189,26.19,36.21,2.276,119.3,876.0402,-
02/01/2023 17:30,250,76.09,189.1,55.14597023,25.95,36.86,1.03,93.5,876.0016,-
02/01/2023 17:40,251,65.6,163.6,53.50092684,26.82,35.35,0.26,176.8,876.1805,-
02/01/2023 17:50,252,39.37,148.9,33.89445613,26.71,35.67,0.024,212.8,876.3409,-
02/01/2023 18:00,253,33.24,112.8,33.32105871,26.38,36.34,0.066,354.4,876.4958,-
02/01/2023 18:10,254,10.28,0.189,10.28726688,25.58,38.06,0,1.113,876.3295,-
02/01/2023 18:20,255,0.539,0.002,0.539152693,25.2,39.75,0,27,876.2115,-
02/01/2023 18:30,256,0,0.001,0.000114338,24.6,42.32,0,330.8,876.2686,-
02/01/2023 18:40,257,0,0.005,0.000761763,24.13,42.81,0.256,334.1,876.3434,-
02/01/2023 18:50,258,0,0.007,0.001332219,23.48,45.64,1.244,4.452,876.415,-
02/01/2023 19:00,259,0,0.007,0.001597113,22.92,47.2,1.876,340.5,876.4223,-
02/01/2023 19:10,260,0,0.007,0.001860646,22.17,48.94,2.361,346.9,876.5908,-
02/01/2023 19:20,261,0,0.008,0.002425506,21.86,48.92,2.595,333.9,876.5905,-
02/01/2023 19:30,262,0,0.026,0.00884605,21.76,48.83,2.806,346.3,876.7358,-
02/01/2023 19:40,263,0,0.005,0.001884348,21.28,50.89,2.908,335.1,876.8675,-
02/01/2023 19:50,264,0,0.007,0.002891202,21.17,51.51,2.755,341.3,876.9833,-
02/01/2023 20:00,265,0,0.009,0.004037779,21.01,52.4,2.404,5.831,877.1785,-
02/01/2023 20:10,266,0,0.003,0.001450924,20.78,53.58,1.764,348.4,877.2453,-
02/01/2023 20:20,267,0,0.001,0.00051796,20.24,55.37,1.798,3.049,877.3992,-
02/01/2023 20:30,268,0,0.03,0.016545964,20.29,55.08,1.663,350.8,877.5227,-
02/01/2023 20:40,269,0,0.003,0.001752884,19.92,56.4,2.136,352.2,877.5881,-
02/01/2023 20:50,270,0,0.005,0.003080925,19.71,57.19,1.876,339.7,877.7351,-
02/01/2023 21:00,271,0,0.013,0.008412851,19.62,57.51,2.068,328,877.7607,-
02/01/2023 21:10,272,0,0.089,0.060262599,19.7,57.47,2.24,344,877.9717,-
02/01/2023 21:20,273,0,0.129,0.091077145,19.8,57.31,1.773,354.2,877.9897,-
02/01/2023 21:30,274,0,0.01,0.007338369,19.66,57.86,1.469,333.5,878.0939,-
